quote,rating_num,title
希望让人自由。,9.7,肖申克的救赎
风华绝代。,9.6,霸王别姬
一部美国近现代史。,9.5,阿甘正传
怪蜀黍和小萝莉不得不说的故事。,9.4,这个杀手不太冷
最美的谎言。,9.5,美丽人生
失去的才是永恒的。 ,9.4,泰坦尼克号
最好的宫崎骏，最好的久石让。 ,9.3,千与千寻
拯救一个人，就是拯救整个世界。,9.5,辛德勒的名单
诺兰给了我们一场无法盗取的梦。,9.3,盗梦空间
永远都不能忘记你所爱的人。,9.4,忠犬八公的故事
每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,9.3,海上钢琴师
小瓦力，大人生。,9.3,机器人总动员
英俊版憨豆，高情商版谢耳朵。,9.2,三傻大闹宝莱坞
如果再也不能见到你，祝你早安，午安，晚安。,9.3,楚门的世界
天籁一般的童声，是最接近上帝的存在。 ,9.3,放牛班的春天
爱是一种力量，让我们超越时空感知它的存在。,9.3,星际穿越
一生所爱。,9.2,大话西游之大圣娶亲
我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,9.3,熔炉
迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,9.2,疯狂动物城
香港电影史上永不过时的杰作。,9.2,无间道
人人心中都有个龙猫，童年就永远不会消失。,9.2,龙猫
千万不要记恨你的对手，这样会让你失去理智。,9.3,教父
平民励志片。 ,9.1,当幸福来敲门
真正的幸福是来自内心深处。,9.1,怦然心动
满满温情的高雅喜剧。,9.2,触不可及
无尽的黑暗。,9.2,蝙蝠侠：黑暗骑士
比利·怀德满分作品。,9.6,控方证人
张艺谋最好的电影。,9.2,活着
Tomorrow is another day.,9.3,乱世佳人
死亡不是真的逝去，遗忘才是永恒的消亡。,9.1,寻梦环游记
“不要跟我比惨，我比你更惨”再适合这部电影不过了。,9.2,末代皇帝
你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,9.0,摔跤吧！爸爸
瑰丽壮观、无人能及的冒险之旅。,9.1,少年派的奇幻漂流
史诗的终章。,9.2,指环王3：王者无敌
最后那些最无聊的事情，才是最值得怀念的。 ,9.0,飞屋环游记
凝视卑弱生命，用电影改变命运。,9.1,何以为家
1957年的理想主义。 ,9.4,十二怒汉
对敌人的仁慈，就是对自己残忍。,9.2,鬼子来了
对天空的追逐，永不停止。 ,9.1,天空之城
旷古烁今。,9.0,大话西游之月光宝盒
带着心爱的人在天空飞翔。,9.0,哈尔的移动城堡
那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,9.2,天堂电影院
受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,9.2,素媛
爱情哪怕只有一天。,9.0,罗马假日
史上最美的探戈。,9.1,闻香识女人
电影的现实意义大过电影本身。,9.2,辩护人
邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,9.0,搏击俱乐部
童话世界的开端。,9.0,哈利·波特与魔法石
当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,9.1,死亡诗社
对我们国家而言，这样的电影多一部是一部。,9.0,我不是药神
优雅的孤独。,9.2,教父2
别样人生。,9.1,窃听风暴
动物版《哈姆雷特》。,9.0,狮子王
承前启后的史诗篇章。,9.1,指环王2：双塔奇兵
经典之作，历久弥新。,9.3,大闹天宫
传说的开始。,9.0,指环王1：魔戒再现
4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,9.1,两杆大烟枪
爱是一切逻辑和原由。,9.0,美丽心灵
自由万岁。,9.1,飞越疯人院
人生不能像做菜，把所有的料都准备好了才下锅。,9.1,饮食男女
一张面具背后的理想与革命。,8.9,V字仇杀队
视觉革命。,9.0,黑客帝国
骗子大师和执著警探的你追我跑故事。 ,9.0,猫鼠游戏
音乐能化解仇恨。,9.1,钢琴家
在时间之河里感受溺水之苦。,8.9,本杰明·巴顿奇事
你以为你以为的就是你以为的。,8.8,看不见的客人
你给我翻译翻译，神马叫做TMD的惊喜。,8.8,让子弹飞
美丽无罪。,8.9,西西里的美丽传说
海豚的微笑，是世界上最高明的伪装。,9.3,海豚湾
奔跑的孩子是天使。,9.2,小鞋子
美利坚精神输出大片No1.,9.0,拯救大兵瑞恩
暗恋的极致。,8.9,情书
用音乐化解仇恨，让歌声串起美好。,9.0,音乐之声
往事如烟，无处祭奠。,9.2,美国往事
尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,9.1,穿条纹睡衣的男孩
孪生蝙蝠侠大战克隆金刚狼。,8.9,致命魔术
去除成见，需要勇气。,8.9,绿皮书
警察抓小偷，老鼠玩死猫。,8.8,七宗罪
故事的高级讲法。,8.8,低俗小说
安东尼·霍普金斯的顶级表演。,8.8,沉默的羔羊
人的命运被自己瞬间的抉择改变。,8.8,蝴蝶效应
以戏谑来戏谑戏谑。,8.9,被嫌弃的松子的一生
如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,9.2,海蒂和爷爷
爱情纠缠，男女一致。,8.9,春光乍泄
